workerid,proliferate.condition,error
12,main,
11,main,
20,main,
26,main,
6,main,
7,main,
4,main,
1,main,
10,main,
24,main,
9,main,
3,main,
27,main,
30,main,
8,main,
21,main,
28,main,
23,main,
25,main,
29,main,
22,main,
