workerid,proliferate.condition,Browser,OS,screenH,screenW,error
26,main,Chrome,Windows,1080,1920,NA
24,main,Chrome,Windows,1080,1920,NA
27,main,Chrome,Windows,1080,1920,NA
30,main,Chrome,Windows,768,1366,NA
21,main,Chrome,Windows,1080,1920,NA
28,main,Chrome,Linux,768,1366,NA
23,main,Chrome,Windows,1050,1680,NA
25,main,Chrome,Linux,768,1366,NA
29,main,Chrome,Mac,982,1512,NA
22,main,Chrome,Mac,956,1470,NA
